Case,Columns,Vectorizer,Recall,Precision,F1,Blocking Time,Matching Time,#Results,Delta
D1,2,st5,0.0,0.0,0.0,2.2055253982543945,0.00010752677917480469,73,0.95
D1,2,st5,0.033707865168539325,0.036585365853658534,0.03508771929824561,2.2055253982543945,0.00012159347534179688,82,0.8999999999999999
D1,2,st5,0.2808988764044944,0.23148148148148148,0.25380710659898476,2.2055253982543945,0.0001468658447265625,108,0.8499999999999999
D1,2,st5,0.47191011235955055,0.31343283582089554,0.37668161434977576,2.2055253982543945,0.0001819133758544922,134,0.7999999999999998
D1,2,st5,0.7415730337078652,0.38823529411764707,0.5096525096525097,2.2055253982543945,0.0002281665802001953,170,0.7499999999999998
D1,2,st5,0.8314606741573034,0.38341968911917096,0.524822695035461,2.2055253982543945,0.0002963542938232422,193,0.6999999999999997
D1,2,st5,0.9213483146067416,0.38497652582159625,0.543046357615894,2.2055253982543945,0.0003886222839355469,213,0.6499999999999997
D1,2,st5,0.9775280898876404,0.375,0.5420560747663551,2.2055253982543945,0.0005512237548828125,232,0.5999999999999996
D1,2,st5,0.9775280898876404,0.35655737704918034,0.5225225225225225,2.2055253982543945,0.0007455348968505859,244,0.5499999999999996
D1,2,st5,0.9775280898876404,0.3140794223826715,0.47540983606557374,2.2055253982543945,0.0009577274322509766,277,0.4999999999999996
D2,2,st5,0.0,0.0,0.0,0.2705991268157959,9.417533874511719e-05,0,0.95
D2,2,st5,0.0,0.0,0.0,0.2705991268157959,9.799003601074219e-05,0,0.8999999999999999
D2,2,st5,0.0,0.0,0.0,0.2705991268157959,9.894371032714844e-05,0,0.8499999999999999
D2,2,st5,0.0009293680297397769,1.0,0.0018570102135561746,0.2705991268157959,0.0001010894775390625,1,0.7999999999999998
D2,2,st5,0.02509293680297398,0.9310344827586207,0.048868778280542986,0.2705991268157959,0.00012230873107910156,29,0.7499999999999998
D2,2,st5,0.16171003717472118,0.9157894736842105,0.27488151658767773,0.2705991268157959,0.00023818016052246094,190,0.6999999999999997
D2,2,st5,0.47769516728624534,0.866779089376054,0.615937687237867,0.2705991268157959,0.0007114410400390625,593,0.6499999999999997
D2,2,st5,0.7407063197026023,0.8199588477366255,0.7783203125,0.2705991268157959,0.0019080638885498047,972,0.5999999999999996
D2,2,st5,0.7788104089219331,0.814382896015549,0.7961995249406174,0.2705991268157959,0.003030061721801758,1029,0.5499999999999996
D2,2,st5,0.7788104089219331,0.814382896015549,0.7961995249406174,0.2705991268157959,0.0034399032592773438,1029,0.4999999999999996
D3,2,st5,0.0,0.0,0.0,0.31787633895874023,0.00019431114196777344,0,0.95
D3,2,st5,0.0,0.0,0.0,0.31787633895874023,0.00019812583923339844,0,0.8999999999999999
D3,2,st5,0.0,0.0,0.0,0.31787633895874023,0.00020360946655273438,6,0.8499999999999999
D3,2,st5,0.001813236627379873,0.1111111111111111,0.003568242640499554,0.31787633895874023,0.0002117156982421875,18,0.7999999999999998
D3,2,st5,0.024478694469628286,0.5094339622641509,0.04671280276816609,0.31787633895874023,0.0002396106719970703,53,0.7499999999999998
D3,2,st5,0.1115140525838622,0.5913461538461539,0.1876430205949657,0.31787633895874023,0.0003399848937988281,208,0.6999999999999997
D3,2,st5,0.3019038984587489,0.5596638655462185,0.392226148409894,0.31787633895874023,0.0006868839263916016,595,0.6499999999999997
D3,2,st5,0.5049864007252947,0.5299714557564225,0.5171773444753947,0.31787633895874023,0.0015358924865722656,1051,0.5999999999999996
D3,2,st5,0.5974614687216682,0.49924242424242427,0.543953776310359,0.31787633895874023,0.003264188766479492,1320,0.5499999999999996
D3,2,st5,0.6010879419764279,0.4966292134831461,0.5438884331419196,0.31787633895874023,0.003720521926879883,1335,0.4999999999999996
D4,2,st5,0.0,0.0,0.0,0.5929701328277588,0.00033736228942871094,0,0.95
D4,2,st5,0.00539568345323741,1.0,0.010733452593917711,0.5929701328277588,0.0003509521484375,12,0.8999999999999999
D4,2,st5,0.03102517985611511,0.9857142857142858,0.06015693112467305,0.5929701328277588,0.00040340423583984375,70,0.8499999999999999
D4,2,st5,0.15422661870503598,0.9828080229226361,0.266614846482705,0.5929701328277588,0.0006053447723388672,349,0.7999999999999998
D4,2,st5,0.49010791366906475,0.990909090909091,0.6558363417569194,0.5929701328277588,0.0012621879577636719,1100,0.7499999999999998
D4,2,st5,0.829136690647482,0.9924650161463939,0.9034786869181772,0.5929701328277588,0.002023458480834961,1858,0.6999999999999997
D4,2,st5,0.9725719424460432,0.9908382959230417,0.9816201497617426,0.5929701328277588,0.0027997493743896484,2183,0.6499999999999997
D4,2,st5,0.9878597122302158,0.9729849424269265,0.9803659080767515,0.5929701328277588,0.0043146610260009766,2258,0.5999999999999996
D4,2,st5,0.9878597122302158,0.96954986760812,0.9786191536748331,0.5929701328277588,0.008524656295776367,2266,0.5499999999999996
D4,2,st5,0.9878597122302158,0.96954986760812,0.9786191536748331,0.5929701328277588,0.009327411651611328,2266,0.4999999999999996
D5,2,st5,0.002798507462686567,0.42857142857142855,0.005560704355885079,1.2239835262298584,0.0005314350128173828,7,0.95
D5,2,st5,0.002798507462686567,0.42857142857142855,0.005560704355885079,1.2239835262298584,0.0005438327789306641,7,0.8999999999999999
D5,2,st5,0.0065298507462686565,0.5833333333333334,0.012915129151291511,1.2239835262298584,0.0005500316619873047,12,0.8499999999999999
D5,2,st5,0.014925373134328358,0.6666666666666666,0.029197080291970802,1.2239835262298584,0.0005638599395751953,24,0.7999999999999998
D5,2,st5,0.018656716417910446,0.5882352941176471,0.036166365280289325,1.2239835262298584,0.0005793571472167969,34,0.7499999999999998
D5,2,st5,0.049440298507462684,0.5824175824175825,0.09114359415305245,1.2239835262298584,0.0006380081176757812,91,0.6999999999999997
D5,2,st5,0.11753731343283583,0.5625,0.19444444444444448,1.2239835262298584,0.0007722377777099609,224,0.6499999999999997
D5,2,st5,0.2789179104477612,0.47086614173228347,0.35032220269478614,1.2239835262298584,0.0012180805206298828,635,0.5999999999999996
D5,2,st5,0.5904850746268657,0.26596638655462185,0.36674391657010436,1.2239835262298584,0.007531166076660156,2380,0.5499999999999996
D5,2,st5,0.6119402985074627,0.21277975997405124,0.31576413959085436,1.2239835262298584,0.012445211410522461,3083,0.4999999999999996
D6,2,st5,0.05662100456621005,0.7045454545454546,0.10481825866441252,1.3226237297058105,0.0006308555603027344,88,0.95
D6,2,st5,0.18904109589041096,0.5948275862068966,0.2869022869022869,1.3226237297058105,0.0007998943328857422,348,0.8999999999999999
D6,2,st5,0.3735159817351598,0.6005873715124816,0.46058558558558554,1.3226237297058105,0.0010445117950439453,681,0.8499999999999999
D6,2,st5,0.4876712328767123,0.6054421768707483,0.5402124430955993,1.3226237297058105,0.0012850761413574219,882,0.7999999999999998
D6,2,st5,0.54337899543379,0.5776699029126213,0.5599999999999999,1.3226237297058105,0.001554250717163086,1030,0.7499999999999998
D6,2,st5,0.6200913242009133,0.5418994413407822,0.5783645655877342,1.3226237297058105,0.001980304718017578,1253,0.6999999999999997
D6,2,st5,0.7360730593607306,0.52,0.6094517958412098,1.3226237297058105,0.002698183059692383,1550,0.6499999999999997
D6,2,st5,0.8356164383561644,0.48412698412698413,0.6130653266331658,1.3226237297058105,0.0042345523834228516,1890,0.5999999999999996
D6,2,st5,0.8584474885844748,0.29075162387875036,0.43438077634011085,1.3226237297058105,0.009978532791137695,3233,0.5499999999999996
D6,2,st5,0.8584474885844748,0.21233340862886832,0.34045635639261135,1.3226237297058105,0.015692472457885742,4427,0.4999999999999996
D7,2,st5,0.0,0.0,0.0,1.145078182220459,0.0006506443023681641,0,0.95
D7,2,st5,0.0,0.0,0.0,1.145078182220459,0.0006554126739501953,0,0.8999999999999999
D7,2,st5,0.0,0.0,0.0,1.145078182220459,0.0006563663482666016,0,0.8499999999999999
D7,2,st5,0.0005081300813008131,1.0,0.0010157440325038092,1.145078182220459,0.0006592273712158203,1,0.7999999999999998
D7,2,st5,0.017276422764227643,1.0,0.03396603396603397,1.145078182220459,0.0006852149963378906,34,0.7499999999999998
D7,2,st5,0.11941056910569106,0.9325396825396826,0.21171171171171171,1.145078182220459,0.0008113384246826172,252,0.6999999999999997
D7,2,st5,0.2703252032520325,0.8896321070234113,0.41465315666406855,1.145078182220459,0.0011172294616699219,598,0.6499999999999997
D7,2,st5,0.5757113821138211,0.7797660013764625,0.662379421221865,1.145078182220459,0.0020933151245117188,1453,0.5999999999999996
D7,2,st5,0.8008130081300813,0.5447632215693052,0.6484262497428513,1.145078182220459,0.010450601577758789,2893,0.5499999999999996
D7,2,st5,0.801829268292683,0.48553846153846153,0.604829436565734,1.145078182220459,0.013130426406860352,3250,0.4999999999999996
D8,2,st5,0.0011723329425556857,1.0,0.00234192037470726,0.592745304107666,0.0010523796081542969,1,0.95
D8,2,st5,0.011723329425556858,0.8333333333333334,0.023121387283236993,0.592745304107666,0.0010688304901123047,12,0.8999999999999999
D8,2,st5,0.053927315357561546,0.71875,0.10032715376226825,0.592745304107666,0.0011050701141357422,64,0.8499999999999999
D8,2,st5,0.1488862837045721,0.635,0.24121557454890788,0.592745304107666,0.0012137889862060547,200,0.7999999999999998
D8,2,st5,0.324736225087925,0.4990990990990991,0.39346590909090906,0.592745304107666,0.0015413761138916016,555,0.7499999999999998
D8,2,st5,0.5181711606096131,0.36438582028029676,0.4278799612778315,0.592745304107666,0.0023980140686035156,1213,0.6999999999999997
D8,2,st5,0.6354044548651817,0.28662083553675305,0.39504373177842567,0.592745304107666,0.0041522979736328125,1891,0.6499999999999997
D8,2,st5,0.6576787807737398,0.2403598971722365,0.3520552243489175,0.592745304107666,0.006361484527587891,2334,0.5999999999999996
D8,2,st5,0.6588511137162955,0.22570281124497993,0.33622494765180977,0.592745304107666,0.007369518280029297,2490,0.5499999999999996
D8,2,st5,0.6588511137162955,0.22570281124497993,0.33622494765180977,0.592745304107666,0.007628679275512695,2490,0.4999999999999996
D9,2,st5,0.0,0.0,0.0,0.6295018196105957,0.00177764892578125,0,0.95
D9,2,st5,0.0012998266897746968,1.0,0.0025962786672436176,0.6295018196105957,0.0017850399017333984,3,0.8999999999999999
D9,2,st5,0.04592720970537262,1.0,0.08782104391052195,0.6295018196105957,0.001844644546508789,106,0.8499999999999999
D9,2,st5,0.17027729636048528,0.9974619289340102,0.2908956328645448,0.6295018196105957,0.0020389556884765625,394,0.7999999999999998
D9,2,st5,0.3479202772963605,0.9876998769987699,0.5145786606856777,0.6295018196105957,0.002403736114501953,813,0.7499999999999998
D9,2,st5,0.5823223570190641,0.9696969696969697,0.7276664861938278,0.6295018196105957,0.003001689910888672,1386,0.6999999999999997
D9,2,st5,0.8353552859618717,0.9455615497793036,0.8870485392224523,0.6295018196105957,0.003927469253540039,2039,0.6499999999999997
D9,2,st5,0.9311091854419411,0.8913313977602655,0.9107861835134562,0.6295018196105957,0.006429195404052734,2411,0.5999999999999996
D9,2,st5,0.9341421143847487,0.8711111111111111,0.901526238762283,0.6295018196105957,0.009742021560668945,2475,0.5499999999999996
D9,2,st5,0.9341421143847487,0.8711111111111111,0.901526238762283,0.6295018196105957,0.010406970977783203,2475,0.4999999999999996
D10,2,st5,0.0,0.0,0.0,6.243902206420898,0.0018546581268310547,0,0.95
D10,2,st5,0.0,0.0,0.0,6.243902206420898,0.001859426498413086,0,0.8999999999999999
D10,2,st5,0.0,0.0,0.0,6.243902206420898,0.0018606185913085938,0,0.8499999999999999
D10,2,st5,0.0,0.0,0.0,6.243902206420898,0.0018618106842041016,0,0.7999999999999998
D10,2,st5,8.747758386913353e-05,1.0,0.00017493986442160508,6.243902206420898,0.0018758773803710938,2,0.7499999999999998
D10,2,st5,0.0012684249661024363,1.0,0.002533636204787699,6.243902206420898,0.0019044876098632812,29,0.6999999999999997
D10,2,st5,0.015002405633556402,0.98,0.029552405979408093,6.243902206420898,0.0021550655364990234,350,0.6499999999999997
D10,2,st5,0.10912828587674409,0.9483086278981376,0.19573232917549227,6.243902206420898,0.004132270812988281,2631,0.5999999999999996
D10,2,st5,0.4080391899575734,0.6261073825503356,0.49408150835473885,6.243902206420898,0.038064002990722656,14900,0.5499999999999996
D10,2,st5,0.4387875606875738,0.5124118908979467,0.47275040644659644,6.243902206420898,0.09593629837036133,19578,0.4999999999999996
